AppID;Name;Release date;Estimated owners;Required age;Price;DLC count;Supported languages;Website;Windows;Mac;Linux;Positive;Negative;Achievements;Average playtime forever;Median playtime forever;Developers;Publishers;Categories
1281400;Good Knight;17.09.2021;20000 - 50000;0;14.99;0;['English', 'Simplified Chinese'];https://www.doublethinkgames.com;WAHR;FALSCH;WAHR;69;0;24;0;0;Team Good Knight;Doublethink Games;Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Includes level editor,Remote Play Together
372890;Red Crow Mysteries: Legion;28.05.2015;20000 - 50000;0;3.99;0;['English'];https://cateia.com/game/red-crow-mysteries-legion/;WAHR;FALSCH;FALSCH;10;26;0;0;0;Cateia Games;Cateia Games;Single-player
1023420;???????? ??????????;31.07.2020;0 - 20000;0;24.99;0;['Japanese'];https://wargame.jp/?page_id=1913;WAHR;FALSCH;FALSCH;0;1;0;0;0;Flying Panjandrum / ?????????????;Flying Panjandrum / ?????????????;Single-player
1141880;Crazy Critters - Combat Cats;22.05.2020;0 - 20000;0;3.99;0;['English'];https://alignedgames.com/;WAHR;FALSCH;FALSCH;15;3;12;0;0;Aligned Games;Aligned Games;Single-player,Multi-player,PvP,Online PvP,Steam Achievements
1022840;The Adventures of Jason and the Argonauts;08.02.2019;0 - 20000;0;4.99;0;['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch'];;WAHR;FALSCH;FALSCH;20;4;0;0;0;PixQuake;HH-Games;Single-player
652160;DC Wonder: Unlimited;14.06.2017;0 - 20000;0;4.99;0;['English'];http://anthonytylerjr.wixsite.com/portfolio/dc-wonder;WAHR;FALSCH;FALSCH;1;0;0;0;0;Nucleax;Nucleax;Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Partial Controller Support,Remote Play Together
968580;Halloween Puzzles;06.11.2018;0 - 20000;0;0.49;0;['English'];https://store.steampowered.com/publisher/boogygames;WAHR;FALSCH;FALSCH;1;2;0;0;0;Boogygames Studios;Boogygames Studios;Single-player
1131550;I Walk Among Zombies Vol. 3;15.12.2020;0 - 20000;0;14.99;1;['English', 'Simplified Chinese'];;WAHR;FALSCH;FALSCH;168;18;0;34;34;Seacoxx;Sekai Project;Single-player
1729790;Escape From School;07.09.2021;0 - 20000;0;0;0;['English'];;WAHR;FALSCH;FALSCH;102;32;7;0;0;Tudor Sandru;Tudor Sandru;Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op,Steam Achievements
368080;Aurion: Legacy of the Kori-Odan;14.04.2016;20000 - 50000;0;14.99;1;['English', 'French'];https://www.aurionthegame.com/;WAHR;FALSCH;FALSCH;207;98;159;360;404;Kiro'o Games;Dear Villagers;Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Stats
572510;Superola Champion Edition;14.07.2022;20000 - 50000;0;4.99;1;['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Simplified Chinese'];https://www.jandusoft.com;WAHR;FALSCH;FALSCH;12;0;46;0;0;Undercoders;JanduSoft;Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Remote Play Together
1225870;Hentai Girlfriend Simulator;31.01.2020;0 - 20000;18;1.19;0;['English'];;WAHR;FALSCH;FALSCH;0;0;3;0;0;Slippy Floor;Slippy Floor;Single-player
1232510;Teleporter: World of Gamers (Alpha);01.05.2020;0 - 20000;0;0;0;['English'];https://teleporter.gg;WAHR;FALSCH;FALSCH;44;9;0;0;0;Teleporter Realities Inc.;Teleporter Realities Inc.;Single-player,Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op
1066890;Automobilista 2;30.06.2020;200000 - 500000;0;23.99;11;['English', 'French', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Spanish - Latin America'];https://www.game-automobilista2.com/;WAHR;FALSCH;FALSCH;4278;491;0;1880;2606;Reiza Studios;Reiza Studios;Single-player,Multi-player,PvP,Online PvP,LAN PvP,Full controller support
817370;Marching Simulator;29.07.2018;0 - 20000;0;0;0;['English'];;WAHR;FALSCH;FALSCH;35;11;0;0;0;Marching Simulator;Marching Simulator;Single-player
1662060;Moon Farming - Prologue;06.01.2022;0 - 0;0;0;0;['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese'];;WAHR;FALSCH;FALSCH;0;0;7;0;0;SimulaM;PlayWay S.A;Single-player
457140;Oxygen Not Included;30.07.2019;2000000 - 5000000;0;24.99;2;['English', 'Simplified Chinese', 'Korean', 'Russian'];https://www.kleientertainment.com/games/oxygen-not-included;WAHR;WAHR;WAHR;82902;3014;45;3574;1003;Klei Entertainment;Klei Entertainment;Single-player,Steam Trading Cards
1774810;Laruaville 10 Match 3 Puzzle;17.10.2021;0 - 20000;0;6.99;0;['English'];;WAHR;FALSCH;FALSCH;1;1;0;0;0;LGT SIA;LGT SIA;Single-player
1886290;Slot Shots Pinball Collection;21.06.2022;0 - 20000;0;9.99;0;['English'];;WAHR;FALSCH;FALSCH;12;0;25;0;0;Pinblend Studios;Pinblend Studios;Single-player,Steam Achievements,Full controller support,Steam Leaderboards
